DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,Contamination
Salt-MAG151,4.918032787
Salt-MAG77,1.042409123
Salt-MAG189,6.704617331
Salt-MAG196,1.136363636
Salt-MAG52,0
Salt-MAG209,5.215053763
Salt-MAG108,9.700460829
Salt-MAG58,2.568922306
Salt-MAG68,5.024630542
Salt-MAG103,0.095238095
Salt-MAG134,1.060070671
Salt-MAG97,0.862068966
Salt-MAG74,1.724137931
Salt-MAG219,0
Salt-MAG79,0.760456274
Salt-MAG60,0.82382763
Salt-MAG23,5.872483221
Salt-MAG186,1.754385965
Salt-MAG152,0.576576577
Salt-MAG160,2.619047619
Salt-MAG213,0
Salt-MAG76,3.494623656
Salt-MAG141,8.463949843
Salt-MAG44,5.968253968
Salt-MAG82,1.612903226
Salt-MAG211,1.630824373
Salt-MAG149,1.630434783
Salt-MAG131,4.444444444
Salt-MAG35,5.253968254
Salt-MAG100,4.804232804
Salt-MAG207,3.677248677
Salt-MAG32,5.376344086
Salt-MAG75,4.021164021
Salt-MAG158,4.596774194
Salt-MAG42,3.225806452
Salt-MAG41,0.268817204
Salt-MAG193,1.415797317
Salt-MAG107,1.366120219
Salt-MAG70,7.103825137
Salt-MAG54,9.836065574
Salt-MAG51,3.825136612
Salt-MAG94,1.366120219
Salt-MAG43,2.18579235
Salt-MAG205,2.459016393
Salt-MAG34,4.098360656
Salt-MAG157,0.819672131
Salt-MAG33,0
Salt-MAG55,2.459016393
Salt-MAG142,1.229050279
Salt-MAG237,1.769087523
Salt-MAG110,5.407523511
Salt-MAG231,2.508693492
Salt-MAG87,0
Salt-MAG144,0
Salt-MAG143,1.282051282
Salt-MAG165,3.846153846
Salt-MAG145,4.301075269
Salt-MAG192,0
Salt-MAG200,4.8
Salt-MAG182,6.237879767
Salt-MAG27,2.800819252
Salt-MAG240,2.903225806
Salt-MAG57,1.785714286
Salt-MAG102,6.123236332
Salt-MAG46,0.744047619
Salt-MAG2,0.793650794
Salt-MAG56,5.654761905
Salt-MAG191,2.579365079
Salt-MAG84,5.985449735
Salt-MAG221,3.35483871
Salt-MAG147,5.906298003
Salt-MAG50,3.512544803
Salt-MAG242,8.142857143
Salt-MAG65,8.064516129
Salt-MAG217,2.258064516
Salt-MAG243,6.903225806
Salt-MAG15,7.849462366
Salt-MAG148,2.258064516
Salt-MAG185,4.892473118
Salt-MAG59,1.129032258
Salt-MAG21,2.903225806
Salt-MAG233,2.097902098
Salt-MAG130,0.874125874
Salt-MAG63,5.066337149
Salt-MAG78,0
Salt-MAG234,1.748251748
Salt-MAG222,1.565995526
Salt-MAG14,2.237136465
Salt-MAG223,4.697986577
Salt-MAG18,0.896057348
Salt-MAG228,2.822580645
Salt-MAG104,8.695652174
Salt-MAG126,8.913043478
Salt-MAG115,3.448275862
Salt-MAG167,2.028985507
Salt-MAG138,3.370786517
Salt-MAG230,4.494382022
Salt-MAG117,7.461734694
Salt-MAG184,4.576271186
Salt-MAG111,3.144654088
Salt-MAG173,0.943396226
Salt-MAG159,0
Salt-MAG204,1.886792453
Salt-MAG195,2.873070326
Salt-MAG8,7.975539943
Salt-MAG1,1.870983386
