DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	MAGGC1
Salt-MAG41	0.464234731
Salt-MAG193	0.446671337
Salt-MAG107	0.409400259
Salt-MAG70	0.445375829
Salt-MAG54	0.423980266
Salt-MAG51	0.444463571
Salt-MAG94	0.423362943
Salt-MAG43	0.443561735
Salt-MAG205	0.446210754
Salt-MAG34	0.427374361
Salt-MAG157	0.524296856
Salt-MAG33	0.425221625
Salt-MAG55	0.42788833
Salt-MAG142	0.370026064
Salt-MAG237	0.378175539
Salt-MAG110	0.337093923
Salt-MAG231	0.488132673
Salt-MAG87	0.413546258
Salt-MAG144	0.425146067
Salt-MAG143	0.570615366
Salt-MAG165	0.481232782
Salt-MAG145	0.36493216
Salt-MAG192	0.461251466
Salt-MAG200	0.376533307
Salt-MAG182	0.515952672
Salt-MAG27	0.427706449
Salt-MAG240	0.543318209
Salt-MAG57	0.490600015
Salt-MAG102	0.583178291
Salt-MAG46	0.521726523
Salt-MAG2	0.576043945
Salt-MAG56	0.570267045
Salt-MAG191	0.452079158
Salt-MAG84	0.572676203
Salt-MAG221	0.536041381
Salt-MAG147	0.480961733
Salt-MAG50	0.528956361
Salt-MAG242	0.56126287
Salt-MAG65	0.609602743
Salt-MAG217	0.53516678
Salt-MAG243	0.566980559
Salt-MAG15	0.562921198
Salt-MAG148	0.610904044
Salt-MAG185	0.518437827
Salt-MAG59	0.506401817
Salt-MAG21	0.55942889
Salt-MAG233	0.494894848
Salt-MAG130	0.459828324
Salt-MAG63	0.537885491
Salt-MAG78	0.632298626
Salt-MAG234	0.388201101
Salt-MAG222	0.332746834
Salt-MAG14	0.374841044
Salt-MAG223	0.366436978
Salt-MAG18	0.293086185
Salt-MAG228	0.304902674
Salt-MAG104	0.310645572
Salt-MAG126	0.315159413
Salt-MAG115	0.31460195
Salt-MAG167	0.315717483
Salt-MAG138	0.299145241
Salt-MAG230	0.294955142
Salt-MAG117	0.365929278
Salt-MAG184	0.456199548
Salt-MAG111	0.347761904
Salt-MAG173	0.332048721
Salt-MAG159	0.329177002
Salt-MAG204	0.390702003
Salt-MAG195	0.474349632
Salt-MAG8	0.47659322
Salt-MAG1	0.394838097
